,Show,EpId,ClipId,SEP28k-T,SEP28k-D,Prolongation,Block,SoundRep,WordRep,Interjection,NoStutteredWords,filepath
25,HeStutters,0,25,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_25.wav
26,HeStutters,0,26,train,dev,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_26.wav
27,HeStutters,0,27,train,dev,0,1,3,1,1,0,SEP-28k_CLIP/HeStutters/0/HeStutters_0_27.wav
28,HeStutters,0,28,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_28.wav
29,HeStutters,0,29,train,dev,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_29.wav
30,HeStutters,0,30,train,dev,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_30.wav
31,HeStutters,0,31,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_31.wav
32,HeStutters,0,32,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_32.wav
33,HeStutters,0,33,test,test,2,1,0,0,0,1,SEP-28k_CLIP/HeStutters/0/HeStutters_0_33.wav
34,HeStutters,0,34,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_34.wav
35,HeStutters,0,35,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_35.wav
36,HeStutters,0,36,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_36.wav
37,HeStutters,0,37,test,test,1,0,0,0,1,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_37.wav
38,HeStutters,0,38,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_38.wav
39,HeStutters,0,39,train,dev,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_39.wav
40,HeStutters,1,0,test,test,0,1,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_0.wav
41,HeStutters,1,1,test,test,0,0,0,1,1,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_1.wav
42,HeStutters,1,2,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_2.wav
43,HeStutters,1,3,dev,train,0,1,0,0,3,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_3.wav
44,HeStutters,1,4,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_4.wav
45,HeStutters,1,5,test,test,0,0,0,3,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_5.wav
46,HeStutters,1,6,test,test,0,0,0,1,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_6.wav
47,HeStutters,1,7,test,test,0,0,0,3,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_7.wav
48,HeStutters,1,8,test,test,0,0,0,2,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_8.wav
49,HeStutters,1,9,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_9.wav
50,HeStutters,1,10,test,test,0,2,0,1,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_10.wav
51,HeStutters,1,11,test,test,2,0,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_11.wav
52,HeStutters,1,12,test,test,0,0,2,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_12.wav
53,HeStutters,1,13,test,test,0,1,0,1,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_13.wav
54,HeStutters,1,14,test,test,3,0,0,0,3,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_14.wav
55,HeStutters,1,15,test,test,3,0,1,0,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_15.wav
56,HeStutters,1,16,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_16.wav
57,HeStutters,1,17,test,test,0,2,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_17.wav
58,HeStutters,1,18,test,test,1,1,1,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_18.wav
59,HeStutters,1,19,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_19.wav
60,HeStutters,1,20,test,test,0,0,1,3,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_20.wav
61,HeStutters,1,21,dev,train,0,0,1,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_21.wav
62,HeStutters,1,22,dev,train,1,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_22.wav
63,HeStutters,1,23,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_23.wav
64,HeStutters,1,24,test,test,0,1,0,1,3,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_24.wav
65,HeStutters,1,25,test,test,1,0,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_25.wav
66,HeStutters,1,26,test,test,0,1,0,0,2,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_26.wav
67,HeStutters,1,27,test,test,3,1,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_27.wav
68,HeStutters,1,28,test,test,1,0,0,1,2,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_28.wav
69,HeStutters,1,29,test,test,2,0,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_29.wav
70,HeStutters,1,30,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_30.wav
71,HeStutters,1,31,test,test,1,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_31.wav
72,HeStutters,1,32,dev,train,3,0,0,0,3,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_32.wav
73,HeStutters,1,33,dev,train,0,1,3,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_33.wav
74,HeStutters,1,34,test,test,0,0,1,1,1,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_34.wav
75,HeStutters,1,35,test,test,1,1,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_35.wav
76,HeStutters,1,36,test,test,0,1,0,0,3,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_36.wav
77,HeStutters,1,37,test,test,0,2,3,0,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_37.wav
78,HeStutters,1,38,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_38.wav
79,HeStutters,1,39,test,test,0,1,1,0,2,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_39.wav
80,HeStutters,1,40,test,test,2,1,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_40.wav
81,HeStutters,1,41,dev,train,2,1,0,0,1,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_41.wav
82,HeStutters,1,42,dev,train,1,1,3,1,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_42.wav
83,HeStutters,1,43,test,test,0,1,0,0,3,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_43.wav
84,HeStutters,1,44,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_44.wav
85,HeStutters,1,45,test,test,1,0,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_45.wav
86,HeStutters,1,46,dev,train,0,2,2,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_46.wav
87,HeStutters,1,47,test,test,0,1,0,0,1,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_47.wav
88,HeStutters,1,48,test,test,1,0,1,1,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_48.wav
89,HeStutters,1,49,test,test,0,2,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_49.wav
90,HeStutters,1,50,test,test,0,1,2,0,1,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_50.wav
91,HeStutters,1,51,dev,train,0,1,0,3,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_51.wav
92,HeStutters,1,52,dev,train,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_52.wav
93,HeStutters,1,53,dev,train,2,2,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_53.wav
94,HeStutters,1,54,dev,train,3,0,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_54.wav
95,HeStutters,1,55,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_55.wav
96,HeStutters,1,56,dev,train,0,0,2,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_56.wav
97,HeStutters,1,57,test,test,1,0,2,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_57.wav
98,HeStutters,1,58,test,test,0,0,0,1,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_58.wav
99,HeStutters,1,59,test,test,1,0,0,0,2,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_59.wav
100,HeStutters,1,60,test,test,1,1,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_60.wav
101,HeStutters,1,61,test,test,0,1,3,0,2,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_61.wav
102,HeStutters,1,62,dev,train,0,3,1,1,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_62.wav
103,HeStutters,1,63,test,test,2,1,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_63.wav
104,HeStutters,1,64,dev,train,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_64.wav
105,HeStutters,1,65,dev,train,0,2,1,3,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_65.wav
106,HeStutters,1,66,dev,train,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_66.wav
107,HeStutters,1,67,test,test,0,1,2,0,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_67.wav
108,HeStutters,1,68,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_68.wav
109,HeStutters,1,69,test,test,1,1,0,0,2,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_69.wav
110,HeStutters,1,70,test,test,0,2,2,0,3,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_70.wav
111,HeStutters,1,71,test,test,0,0,0,3,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_71.wav
112,HeStutters,1,72,dev,train,3,2,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_72.wav
113,HeStutters,1,73,test,test,0,1,0,1,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_73.wav
114,HeStutters,1,74,dev,train,1,2,1,0,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_74.wav
115,HeStutters,1,75,test,test,0,3,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_75.wav
116,HeStutters,1,76,test,test,0,1,0,0,3,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_76.wav
117,HeStutters,1,77,dev,train,0,2,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_77.wav
118,HeStutters,1,78,dev,train,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_78.wav
119,HeStutters,1,79,dev,train,0,1,0,0,1,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_79.wav
120,HeStutters,1,80,dev,train,0,1,0,3,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_80.wav
121,HeStutters,1,81,dev,train,1,1,1,0,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_81.wav
122,HeStutters,1,82,test,test,2,2,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_82.wav
123,HeStutters,1,83,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_83.wav
124,HeStutters,1,84,dev,train,0,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_84.wav
125,HeStutters,1,85,test,test,0,0,0,3,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_85.wav
126,HeStutters,1,86,test,test,2,0,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_86.wav
127,HeStutters,1,87,test,test,0,2,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_87.wav
128,HeStutters,1,88,test,test,0,0,2,0,1,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_88.wav
129,HeStutters,1,89,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_89.wav
130,HeStutters,1,90,test,test,1,0,0,0,1,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_90.wav
131,HeStutters,1,91,test,test,2,0,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_91.wav
132,HeStutters,1,92,test,test,0,1,1,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_92.wav
133,HeStutters,1,93,test,test,0,0,0,0,1,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_93.wav
134,HeStutters,1,94,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_94.wav
135,HeStutters,1,95,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_95.wav
136,HeStutters,1,96,test,test,0,1,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_96.wav
137,HeStutters,1,97,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_97.wav
138,HeStutters,1,98,dev,train,0,0,0,3,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_98.wav
139,HeStutters,1,99,dev,train,1,0,0,0,1,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_99.wav
140,HeStutters,1,100,dev,train,0,0,2,2,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_100.wav
141,HeStutters,1,101,test,test,2,1,0,0,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_101.wav
142,HeStutters,1,102,test,test,1,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_102.wav
143,HeStutters,1,103,dev,train,0,0,0,0,2,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_103.wav
144,HeStutters,1,104,test,test,0,0,0,3,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_104.wav
145,HeStutters,1,105,test,test,0,0,2,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_105.wav
146,HeStutters,1,106,test,test,0,3,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_106.wav
147,HeStutters,1,107,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_107.wav
148,HeStutters,1,108,test,test,1,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_108.wav
149,HeStutters,1,109,dev,train,0,2,0,0,3,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_109.wav
150,HeStutters,1,110,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_110.wav
151,HeStutters,1,111,test,test,0,0,0,1,2,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_111.wav
152,HeStutters,1,112,test,test,3,1,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_112.wav
153,HeStutters,1,113,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_113.wav
154,HeStutters,1,114,test,test,0,0,1,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_114.wav
155,HeStutters,1,115,test,test,0,0,1,2,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_115.wav
156,HeStutters,1,116,test,test,2,1,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_116.wav
157,HeStutters,1,117,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_117.wav
158,HeStutters,1,118,test,test,2,0,0,0,3,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_118.wav
159,HeStutters,1,119,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_119.wav
160,HeStutters,1,120,test,test,1,0,0,3,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_120.wav
161,HeStutters,1,121,dev,train,0,0,0,0,3,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_121.wav
162,HeStutters,1,122,dev,train,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_122.wav
163,HeStutters,1,123,test,test,1,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_123.wav
164,HeStutters,1,124,dev,train,0,0,1,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_124.wav
165,HeStutters,1,125,test,test,0,2,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_125.wav
166,HeStutters,1,126,test,test,0,0,0,0,1,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_126.wav
167,HeStutters,1,127,test,test,0,0,3,1,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_127.wav
168,HeStutters,1,128,test,test,1,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_128.wav
169,HeStutters,1,129,dev,train,2,2,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_129.wav
170,HeStutters,1,130,test,test,0,1,1,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_130.wav
171,HeStutters,1,131,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_131.wav
172,HeStutters,1,132,test,test,0,2,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_132.wav
173,HeStutters,1,133,test,test,1,3,0,1,2,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_133.wav
174,HeStutters,1,134,test,test,1,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_134.wav
175,HeStutters,1,135,test,test,1,1,1,0,3,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_135.wav
176,HeStutters,1,136,test,test,0,2,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_136.wav
177,HeStutters,1,137,test,test,2,1,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_137.wav
178,HeStutters,1,138,test,test,1,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_138.wav
179,HeStutters,1,139,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_139.wav
180,HeStutters,1,140,test,test,2,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_140.wav
181,HeStutters,1,141,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_141.wav
182,HeStutters,1,142,test,test,1,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_142.wav
183,HeStutters,1,143,test,test,0,0,0,1,3,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_143.wav
184,HeStutters,1,144,test,test,3,0,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_144.wav
185,HeStutters,1,145,test,test,1,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_145.wav
186,HeStutters,1,146,dev,train,0,2,0,3,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_146.wav
187,HeStutters,1,147,test,test,0,2,2,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_147.wav
188,HeStutters,1,148,dev,train,3,0,0,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_148.wav
189,HeStutters,1,149,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_149.wav
190,HeStutters,1,150,dev,train,0,2,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_150.wav
191,HeStutters,1,151,test,test,0,0,1,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_151.wav
192,HeStutters,1,152,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_152.wav
193,HeStutters,1,153,dev,train,0,0,1,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_153.wav
194,HeStutters,1,154,test,test,1,1,1,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_154.wav
195,HeStutters,1,155,test,test,0,0,3,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_155.wav
196,HeStutters,1,156,test,test,1,1,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_156.wav
197,HeStutters,1,157,test,test,0,2,2,1,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_157.wav
198,HeStutters,1,158,test,test,0,0,2,2,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_158.wav
199,HeStutters,1,159,test,test,2,2,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_159.wav
200,HeStutters,1,160,test,test,2,2,1,0,1,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_160.wav
201,HeStutters,1,161,dev,train,3,0,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_161.wav
202,HeStutters,1,162,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_162.wav
203,HeStutters,1,163,test,test,1,0,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_163.wav
204,HeStutters,1,164,dev,train,1,2,1,0,1,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_164.wav
205,HeStutters,1,165,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_165.wav
206,HeStutters,1,166,test,test,0,1,1,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_166.wav
207,HeStutters,1,167,dev,train,0,1,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_167.wav
208,HeStutters,1,168,test,test,2,0,0,0,2,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_168.wav
209,HeStutters,1,169,test,test,2,2,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_169.wav
210,HeStutters,1,170,test,test,2,3,1,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_170.wav
211,HeStutters,1,171,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_171.wav
212,HeStutters,1,172,test,test,0,0,1,2,2,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_172.wav
213,HeStutters,1,173,test,test,1,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_173.wav
214,HeStutters,1,174,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_174.wav
215,HeStutters,1,175,test,test,1,0,0,3,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_175.wav
216,HeStutters,1,176,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_176.wav
217,HeStutters,1,177,test,test,0,1,1,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_177.wav
218,HeStutters,1,178,test,test,0,0,0,0,3,3,SEP-28k_CLIP/HeStutters/1/HeStutters_1_178.wav
219,HeStutters,1,179,test,test,0,2,0,0,1,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_179.wav
220,HeStutters,1,180,test,test,2,0,0,0,1,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_180.wav
221,HeStutters,1,181,test,test,0,0,2,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_181.wav
222,HeStutters,1,182,test,test,2,1,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_182.wav
223,HeStutters,1,183,test,test,0,2,2,0,0,0,SEP-28k_CLIP/HeStutters/1/HeStutters_1_183.wav
224,HeStutters,1,184,test,test,0,2,0,0,0,1,SEP-28k_CLIP/HeStutters/1/HeStutters_1_184.wav
225,HeStutters,1,185,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/1/HeStutters_1_185.wav
