,Show,EpId,ClipId,SEP28k-T,SEP28k-D,Prolongation,Block,SoundRep,WordRep,Interjection,NoStutteredWords
48,HeStutters,1,8,test,test,0,0,0,2,0,1
49,HeStutters,1,9,test,test,0,1,0,0,0,2
50,HeStutters,1,10,test,test,0,2,0,1,0,0
51,HeStutters,1,11,test,test,2,0,1,0,0,0
52,HeStutters,1,12,test,test,0,0,2,0,0,1
53,HeStutters,1,13,test,test,0,1,0,1,0,1
54,HeStutters,1,14,test,test,3,0,0,0,3,0
55,HeStutters,1,15,test,test,3,0,1,0,1,0
56,HeStutters,1,16,test,test,0,1,0,0,0,2
57,HeStutters,1,17,test,test,0,2,1,0,0,0
58,HeStutters,1,18,test,test,1,1,1,0,0,1
59,HeStutters,1,19,test,test,0,0,0,0,0,3
60,HeStutters,1,20,test,test,0,0,1,3,1,0
61,HeStutters,1,21,dev,train,0,0,1,0,0,1
62,HeStutters,1,22,dev,train,1,1,0,0,0,2
63,HeStutters,1,23,test,test,1,0,0,0,0,2
64,HeStutters,1,24,test,test,0,1,0,1,3,1
65,HeStutters,1,25,test,test,1,0,0,0,0,1
66,HeStutters,1,26,test,test,0,1,0,0,2,2
67,HeStutters,1,27,test,test,3,1,0,0,0,0
68,HeStutters,1,28,test,test,1,0,0,1,2,2
69,HeStutters,1,29,test,test,2,0,0,0,0,1
70,HeStutters,1,30,test,test,0,1,0,0,0,2
71,HeStutters,1,31,test,test,1,1,0,0,0,1
72,HeStutters,1,32,dev,train,3,0,0,0,3,0
73,HeStutters,1,33,dev,train,0,1,3,0,0,0
74,HeStutters,1,34,test,test,0,0,1,1,1,1
75,HeStutters,1,35,test,test,1,1,2,0,0,0
76,HeStutters,1,36,test,test,0,1,0,0,3,2
77,HeStutters,1,37,test,test,0,2,3,0,1,0
78,HeStutters,1,38,test,test,0,1,0,0,0,2
79,HeStutters,1,39,test,test,0,1,1,0,2,1
80,HeStutters,1,40,test,test,2,1,0,0,0,0
81,HeStutters,1,41,dev,train,2,1,0,0,1,1
82,HeStutters,1,42,dev,train,1,1,3,1,0,0
83,HeStutters,1,43,test,test,0,1,0,0,3,2
84,HeStutters,1,44,test,test,0,1,0,0,0,2
85,HeStutters,1,45,test,test,1,0,2,0,0,0
86,HeStutters,1,46,dev,train,0,2,2,0,0,1
87,HeStutters,1,47,test,test,0,1,0,0,1,2
88,HeStutters,1,48,test,test,1,0,1,1,1,0
89,HeStutters,1,49,test,test,0,2,2,0,0,0
90,HeStutters,1,50,test,test,0,1,2,0,1,1
91,HeStutters,1,51,dev,train,0,1,0,3,0,0
92,HeStutters,1,52,dev,train,0,0,0,0,0,3
93,HeStutters,1,53,dev,train,2,2,0,0,0,0
94,HeStutters,1,54,dev,train,3,0,1,0,0,0
95,HeStutters,1,55,test,test,0,1,0,0,0,2
96,HeStutters,1,56,dev,train,0,0,2,0,0,1
97,HeStutters,1,57,test,test,1,0,2,0,0,1
98,HeStutters,1,58,test,test,0,0,0,1,0,2
99,HeStutters,1,59,test,test,1,0,0,0,2,2
100,HeStutters,1,60,test,test,1,1,2,0,0,0
101,HeStutters,1,61,test,test,0,1,3,0,2,0
102,HeStutters,1,62,dev,train,0,3,1,1,0,0
103,HeStutters,1,63,test,test,2,1,0,0,0,0
104,HeStutters,1,64,dev,train,0,0,0,0,0,3
105,HeStutters,1,65,dev,train,0,2,1,3,0,0
106,HeStutters,1,66,dev,train,1,0,0,0,0,2
107,HeStutters,1,67,test,test,0,1,2,0,1,0
108,HeStutters,1,68,test,test,0,1,0,0,0,2
109,HeStutters,1,69,test,test,1,1,0,0,2,2
110,HeStutters,1,70,test,test,0,2,2,0,3,0
111,HeStutters,1,71,test,test,0,0,0,3,0,0
112,HeStutters,1,72,dev,train,3,2,0,0,0,0
113,HeStutters,1,73,test,test,0,1,0,1,0,1
114,HeStutters,1,74,dev,train,1,2,1,0,1,0
115,HeStutters,1,75,test,test,0,3,2,0,0,0
116,HeStutters,1,76,test,test,0,1,0,0,3,2
117,HeStutters,1,77,dev,train,0,2,1,0,0,0
118,HeStutters,1,78,dev,train,0,1,0,0,0,2
119,HeStutters,1,79,dev,train,0,1,0,0,1,2
120,HeStutters,1,80,dev,train,0,1,0,3,1,0
121,HeStutters,1,81,dev,train,1,1,1,0,1,0
122,HeStutters,1,82,test,test,2,2,2,0,0,0
123,HeStutters,1,83,test,test,1,0,0,0,0,2
124,HeStutters,1,84,dev,train,0,1,0,0,0,1
125,HeStutters,1,85,test,test,0,0,0,3,1,0
126,HeStutters,1,86,test,test,2,0,0,0,0,1
127,HeStutters,1,87,test,test,0,2,0,0,0,1
128,HeStutters,1,88,test,test,0,0,2,0,1,1
129,HeStutters,1,89,test,test,1,0,0,0,0,2
130,HeStutters,1,90,test,test,1,0,0,0,1,1
131,HeStutters,1,91,test,test,2,0,1,0,0,0
132,HeStutters,1,92,test,test,0,1,1,0,0,1
133,HeStutters,1,93,test,test,0,0,0,0,1,3
134,HeStutters,1,94,test,test,0,0,0,0,0,3
135,HeStutters,1,95,test,test,0,0,0,0,0,3
136,HeStutters,1,96,test,test,0,1,2,0,0,0
137,HeStutters,1,97,test,test,1,0,0,0,0,2
138,HeStutters,1,98,dev,train,0,0,0,3,0,0
139,HeStutters,1,99,dev,train,1,0,0,0,1,2
140,HeStutters,1,100,dev,train,0,0,2,2,0,0
141,HeStutters,1,101,test,test,2,1,0,0,1,0
142,HeStutters,1,102,test,test,1,1,0,0,0,1
143,HeStutters,1,103,dev,train,0,0,0,0,2,3
144,HeStutters,1,104,test,test,0,0,0,3,1,0
145,HeStutters,1,105,test,test,0,0,2,0,0,1
146,HeStutters,1,106,test,test,0,3,0,0,0,0
147,HeStutters,1,107,test,test,0,0,0,0,0,3
148,HeStutters,1,108,test,test,1,1,0,0,0,1
149,HeStutters,1,109,dev,train,0,2,0,0,3,1
150,HeStutters,1,110,test,test,0,0,0,0,0,3
151,HeStutters,1,111,test,test,0,0,0,1,2,2
152,HeStutters,1,112,test,test,3,1,0,0,0,0
153,HeStutters,1,113,test,test,0,1,0,0,0,2
154,HeStutters,1,114,test,test,0,0,1,0,0,2
155,HeStutters,1,115,test,test,0,0,1,2,0,0
156,HeStutters,1,116,test,test,2,1,2,0,0,0
157,HeStutters,1,117,test,test,0,1,0,0,0,2
158,HeStutters,1,118,test,test,2,0,0,0,3,1
159,HeStutters,1,119,test,test,0,1,0,0,0,2
160,HeStutters,1,120,test,test,1,0,0,3,0,0
161,HeStutters,1,121,dev,train,0,0,0,0,3,3
162,HeStutters,1,122,dev,train,0,1,0,0,0,2
163,HeStutters,1,123,test,test,1,1,0,0,0,2
164,HeStutters,1,124,dev,train,0,0,1,0,0,2
165,HeStutters,1,125,test,test,0,2,2,0,0,0
166,HeStutters,1,126,test,test,0,0,0,0,1,3
167,HeStutters,1,127,test,test,0,0,3,1,0,0
168,HeStutters,1,128,test,test,1,1,0,0,0,1
169,HeStutters,1,129,dev,train,2,2,2,0,0,0
170,HeStutters,1,130,test,test,0,1,1,0,0,2
171,HeStutters,1,131,test,test,0,0,0,0,0,3
172,HeStutters,1,132,test,test,0,2,0,0,0,1
173,HeStutters,1,133,test,test,1,3,0,1,2,0
174,HeStutters,1,134,test,test,1,1,0,0,0,2
175,HeStutters,1,135,test,test,1,1,1,0,3,1
176,HeStutters,1,136,test,test,0,2,0,0,0,2
177,HeStutters,1,137,test,test,2,1,2,0,0,0
178,HeStutters,1,138,test,test,1,1,0,0,0,1
179,HeStutters,1,139,test,test,0,1,0,0,0,2
180,HeStutters,1,140,test,test,2,0,0,0,0,2
181,HeStutters,1,141,test,test,0,1,0,0,0,2
182,HeStutters,1,142,test,test,1,1,0,0,0,1
183,HeStutters,1,143,test,test,0,0,0,1,3,2
184,HeStutters,1,144,test,test,3,0,0,0,0,0
185,HeStutters,1,145,test,test,1,1,0,0,0,1
186,HeStutters,1,146,dev,train,0,2,0,3,1,0
187,HeStutters,1,147,test,test,0,2,2,0,0,1
188,HeStutters,1,148,dev,train,3,0,0,0,0,0
189,HeStutters,1,149,test,test,1,0,0,0,0,2
190,HeStutters,1,150,dev,train,0,2,0,0,0,1
191,HeStutters,1,151,test,test,0,0,1,0,0,2
192,HeStutters,1,152,test,test,0,0,0,0,0,3
193,HeStutters,1,153,dev,train,0,0,1,0,0,2
194,HeStutters,1,154,test,test,1,1,1,0,0,1
195,HeStutters,1,155,test,test,0,0,3,0,0,0
196,HeStutters,1,156,test,test,1,1,1,0,0,0
197,HeStutters,1,157,test,test,0,2,2,1,1,0
198,HeStutters,1,158,test,test,0,0,2,2,0,0
199,HeStutters,1,159,test,test,2,2,1,0,0,0
200,HeStutters,1,160,test,test,2,2,1,0,1,1
201,HeStutters,1,161,dev,train,3,0,2,0,0,0
202,HeStutters,1,162,test,test,0,1,0,0,0,2
203,HeStutters,1,163,test,test,1,0,2,0,0,0
204,HeStutters,1,164,dev,train,1,2,1,0,1,0
205,HeStutters,1,165,test,test,1,0,0,0,0,2
206,HeStutters,1,166,test,test,0,1,1,0,0,2
207,HeStutters,1,167,dev,train,0,1,2,0,0,0
208,HeStutters,1,168,test,test,2,0,0,0,2,1
209,HeStutters,1,169,test,test,2,2,1,0,0,0
210,HeStutters,1,170,test,test,2,3,1,0,0,0
211,HeStutters,1,171,test,test,0,1,0,0,0,2
212,HeStutters,1,172,test,test,0,0,1,2,2,0
213,HeStutters,1,173,test,test,1,1,0,0,0,1
214,HeStutters,1,174,test,test,1,0,0,0,0,2
215,HeStutters,1,175,test,test,1,0,0,3,0,0
216,HeStutters,1,176,test,test,0,1,0,0,0,2
217,HeStutters,1,177,test,test,0,1,1,0,0,1
218,HeStutters,1,178,test,test,0,0,0,0,3,3
219,HeStutters,1,179,test,test,0,2,0,0,1,1
220,HeStutters,1,180,test,test,2,0,0,0,1,1
221,HeStutters,1,181,test,test,0,0,2,0,0,1
222,HeStutters,1,182,test,test,2,1,0,0,0,1
223,HeStutters,1,183,test,test,0,2,2,0,0,0
224,HeStutters,1,184,test,test,0,2,0,0,0,1
225,HeStutters,1,185,test,test,1,0,0,0,0,2
226,HeStutters,1,186,test,test,0,1,2,0,0,0
227,HeStutters,1,187,test,test,0,1,0,0,0,2
228,HeStutters,1,188,test,test,3,0,0,0,1,0
229,HeStutters,1,189,test,test,0,2,0,0,0,1
230,HeStutters,1,190,test,test,0,0,0,0,2,3
231,HeStutters,1,191,test,test,2,0,0,0,0,1
232,HeStutters,1,192,test,test,0,0,0,0,0,3
233,HeStutters,1,193,test,test,0,0,0,2,0,1
234,HeStutters,1,194,test,test,2,0,1,3,0,0
235,HeStutters,1,195,test,test,0,0,0,0,0,3
236,HeStutters,1,196,test,test,1,1,0,0,0,1
237,HeStutters,1,197,dev,train,0,1,1,0,0,2
238,HeStutters,1,198,test,test,0,0,0,0,1,3
239,HeStutters,1,199,test,test,0,0,0,0,2,3
240,HeStutters,1,200,test,test,1,1,0,0,0,1
241,HeStutters,1,201,test,test,0,2,1,0,0,0
242,HeStutters,1,202,test,test,2,0,2,0,0,1
243,HeStutters,1,203,dev,train,0,0,0,0,0,2
244,HeStutters,1,204,test,test,2,0,1,0,0,0
245,HeStutters,1,205,test,test,0,0,0,3,0,0
246,HeStutters,1,206,test,test,0,2,0,0,1,1
247,HeStutters,1,207,test,test,0,0,1,2,1,0
248,HeStutters,1,208,test,test,1,0,0,0,0,2
249,HeStutters,1,209,dev,train,0,2,3,0,0,0
250,HeStutters,1,210,test,test,0,0,0,3,0,0
251,HeStutters,1,211,test,test,3,0,1,0,0,0
252,HeStutters,1,212,test,test,0,2,1,0,0,1
253,HeStutters,1,213,test,test,1,0,0,0,0,2
254,HeStutters,1,214,test,test,0,1,1,0,0,0
255,HeStutters,1,215,dev,train,0,1,0,0,3,2
256,HeStutters,1,216,dev,train,0,0,0,0,2,3
257,HeStutters,1,217,test,test,1,2,0,0,0,0
258,HeStutters,1,218,dev,train,1,0,0,0,0,2
259,HeStutters,1,219,test,test,1,1,0,0,0,1
260,HeStutters,1,220,test,test,0,0,0,2,1,1
261,HeStutters,1,221,test,test,1,0,1,0,0,1
262,HeStutters,1,222,dev,train,3,0,1,0,2,0
263,HeStutters,1,223,test,test,0,1,0,0,0,2
264,HeStutters,1,224,dev,train,0,0,1,1,2,1
265,HeStutters,1,225,test,test,0,1,1,0,0,1
266,HeStutters,1,226,dev,train,0,1,1,0,0,1
267,HeStutters,1,227,dev,train,0,0,3,0,0,0
268,HeStutters,1,228,test,test,0,0,0,0,0,3
269,HeStutters,1,229,dev,train,1,1,2,1,0,0
270,HeStutters,1,230,dev,train,1,1,0,0,0,1
271,HeStutters,1,231,test,test,0,1,0,0,1,2
272,HeStutters,1,232,test,test,0,1,1,0,3,1
273,HeStutters,1,233,dev,train,1,0,0,0,3,2
274,HeStutters,1,234,test,test,1,2,1,0,0,0
275,HeStutters,1,235,test,test,0,1,0,0,0,2
276,HeStutters,1,236,dev,train,0,0,3,0,0,0
277,HeStutters,1,237,test,test,1,0,0,0,1,2
278,HeStutters,1,238,test,test,1,0,0,2,0,1
279,HeStutters,1,239,test,test,1,1,0,0,2,1
280,HeStutters,1,240,test,test,0,1,0,0,2,2
281,HeStutters,1,241,test,test,1,2,0,0,1,0
282,HeStutters,1,242,test,test,1,0,1,0,0,2
283,HeStutters,1,243,test,test,0,0,0,0,0,3
284,HeStutters,1,244,test,test,3,0,0,0,0,0
285,HeStutters,1,245,dev,train,1,1,1,0,1,1
286,HeStutters,1,246,test,test,3,0,0,0,0,0
287,HeStutters,1,247,dev,train,1,1,1,0,0,1
288,HeStutters,1,248,test,test,1,2,0,0,1,1
289,HeStutters,1,249,test,test,2,1,1,0,1,0
290,HeStutters,1,250,test,test,1,0,2,1,0,1
291,HeStutters,1,251,test,test,0,0,0,0,1,3
292,HeStutters,1,252,test,test,0,1,2,1,3,0
293,HeStutters,1,253,dev,train,1,1,2,1,1,0
294,HeStutters,1,254,test,test,0,2,3,0,0,0
295,HeStutters,1,255,dev,train,0,1,1,1,1,1
296,HeStutters,1,256,test,test,0,0,0,0,0,3
297,HeStutters,1,257,dev,train,0,1,2,0,0,0
298,HeStutters,1,258,test,test,2,0,2,0,0,0
299,HeStutters,1,259,test,test,0,0,1,0,0,2
300,HeStutters,1,260,test,test,0,1,3,0,0,0
301,HeStutters,1,261,test,test,0,1,0,0,2,2
302,HeStutters,1,262,test,test,0,1,0,2,0,0
303,HeStutters,1,263,test,test,2,3,0,0,0,0
304,HeStutters,1,264,test,test,1,1,0,0,0,1
305,HeStutters,1,265,test,test,1,0,0,0,0,2
306,HeStutters,1,266,test,test,0,1,0,0,0,2
307,HeStutters,1,267,test,test,1,1,2,0,0,0
308,HeStutters,1,268,dev,train,1,2,1,0,0,0
309,HeStutters,1,269,test,test,0,0,1,2,1,0
310,HeStutters,1,270,dev,train,3,0,0,0,1,0
311,HeStutters,1,271,test,test,0,0,1,1,0,2
312,HeStutters,1,272,test,test,0,1,0,0,0,2
313,HeStutters,2,0,train,dev,0,1,0,0,0,2
314,HeStutters,2,1,test,test,0,0,0,0,0,3
315,HeStutters,2,2,test,test,0,2,0,0,2,1
316,HeStutters,2,3,test,test,2,1,0,0,0,0
317,HeStutters,2,4,test,test,2,1,0,0,1,0
318,HeStutters,2,5,test,test,1,1,0,0,0,1
319,HeStutters,2,6,test,test,1,0,0,0,2,2
320,HeStutters,2,7,test,test,1,0,0,0,2,2
321,HeStutters,2,8,test,test,3,0,0,0,3,0
322,HeStutters,2,9,test,test,0,0,0,2,0,1
323,HeStutters,2,10,test,test,1,0,0,0,0,2
324,HeStutters,2,11,test,test,1,0,0,0,0,2
325,HeStutters,2,12,test,test,0,1,2,0,0,1
326,HeStutters,2,13,train,dev,3,2,2,0,0,0
327,HeStutters,2,14,train,dev,0,0,0,0,0,3
328,HeStutters,2,15,train,dev,0,1,0,0,2,2
329,HeStutters,2,16,train,dev,2,0,1,0,0,1
330,HeStutters,2,17,train,dev,0,2,0,0,3,1
331,HeStutters,2,18,train,dev,0,1,0,0,0,2
332,HeStutters,2,19,train,dev,1,0,0,0,3,2
333,HeStutters,2,20,test,test,0,1,0,0,2,2
334,HeStutters,2,21,train,dev,0,1,0,0,3,2
335,HeStutters,2,22,train,dev,0,1,0,0,0,2
336,HeStutters,2,23,test,test,0,1,0,0,0,2
337,HeStutters,2,24,test,test,0,0,0,2,1,1
338,HeStutters,2,25,test,test,2,0,0,0,0,1
339,HeStutters,2,26,test,test,0,1,0,0,2,2
340,HeStutters,2,27,test,test,0,1,0,0,2,2
341,HeStutters,2,28,test,test,0,0,0,0,2,3
342,HeStutters,2,29,test,test,0,0,0,0,0,3
343,HeStutters,2,30,test,test,0,2,0,0,3,1
344,HeStutters,2,31,train,dev,0,0,0,0,0,3
345,HeStutters,2,32,test,test,0,0,0,0,1,3
346,HeStutters,2,33,test,test,0,0,0,0,0,3
347,HeStutters,2,34,train,dev,0,1,0,0,1,2
348,HeStutters,2,35,test,test,0,2,2,0,0,0
349,HeStutters,2,36,train,dev,0,0,0,0,0,3
350,HeStutters,2,37,train,dev,0,0,0,2,0,1
351,HeStutters,2,38,train,dev,1,1,0,0,0,1
352,HeStutters,2,39,test,test,1,0,0,3,0,0
353,HeStutters,2,40,test,test,0,2,0,0,0,1
354,HeStutters,2,41,test,test,0,0,0,0,0,3
355,HeStutters,2,42,test,test,0,0,1,0,1,2
356,HeStutters,2,43,test,test,0,0,0,0,0,3
357,HeStutters,2,44,test,test,0,0,1,1,0,1
358,HeStutters,2,45,test,test,0,0,0,0,0,3
359,HeStutters,2,46,test,test,0,0,0,0,0,3
360,HeStutters,2,47,test,test,0,0,0,0,0,3
361,HeStutters,2,48,test,test,0,1,0,0,0,2
362,HeStutters,2,49,test,test,0,1,1,0,1,1
363,HeStutters,2,50,test,test,0,1,1,0,0,2
364,HeStutters,2,51,test,test,0,0,2,0,0,0
365,HeStutters,2,52,test,test,0,0,0,0,2,3
366,HeStutters,2,53,train,dev,1,0,0,0,0,2
367,HeStutters,2,54,train,dev,0,0,0,0,0,3
368,HeStutters,2,55,test,test,1,0,0,0,1,2
369,HeStutters,2,56,test,test,0,0,0,0,0,2
370,HeStutters,2,57,train,dev,1,3,0,0,0,0
371,HeStutters,2,58,train,dev,1,0,0,0,1,2
372,HeStutters,2,59,test,test,0,0,0,3,1,0
373,HeStutters,2,60,test,test,3,0,0,0,3,0
374,HeStutters,2,61,test,test,1,1,0,0,0,2
375,HeStutters,2,62,test,test,2,0,0,0,3,1
376,HeStutters,2,63,test,test,1,0,0,0,2,2
377,HeStutters,2,64,test,test,1,1,0,0,0,1
378,HeStutters,2,65,test,test,0,0,0,0,0,3
379,HeStutters,2,66,test,test,2,0,0,0,3,1
380,HeStutters,2,67,test,test,1,0,0,1,0,1
381,HeStutters,2,68,test,test,1,1,0,0,0,1
382,HeStutters,2,69,test,test,1,0,0,0,1,2
383,HeStutters,2,70,test,test,2,0,0,1,3,1
384,HeStutters,2,71,train,dev,2,1,0,0,0,1
385,HeStutters,2,72,train,dev,2,1,2,0,0,0
386,HeStutters,2,73,test,test,0,1,0,3,0,0
387,HeStutters,2,74,test,test,0,0,0,0,0,3
388,HeStutters,2,75,test,test,2,0,0,0,3,1
389,HeStutters,2,76,test,test,2,1,0,0,3,1
390,HeStutters,2,77,train,dev,1,0,0,0,0,2
391,HeStutters,2,78,train,dev,1,0,0,0,0,2
392,HeStutters,2,79,test,test,0,2,0,0,0,1
393,HeStutters,2,80,test,test,1,0,0,0,3,2
394,HeStutters,2,81,test,test,0,0,1,0,0,2
395,HeStutters,2,82,test,test,0,0,0,0,0,3
396,HeStutters,2,83,test,test,0,0,0,0,2,2
397,HeStutters,2,84,test,test,1,0,0,0,1,2
398,HeStutters,2,85,train,dev,2,2,0,0,0,0
399,HeStutters,2,86,test,test,2,0,0,0,3,1
400,HeStutters,2,87,test,test,3,0,0,0,3,0
401,HeStutters,2,88,train,dev,0,0,0,0,0,3
402,HeStutters,2,89,train,dev,0,2,0,0,0,1
403,HeStutters,2,90,test,test,0,0,0,1,3,2
404,HeStutters,2,91,test,test,0,1,3,0,1,0
405,HeStutters,2,92,test,test,2,0,0,0,3,1
406,HeStutters,2,93,test,test,1,0,0,0,3,2
407,HeStutters,2,94,test,test,1,0,0,0,3,2
408,HeStutters,2,95,test,test,1,1,1,0,2,1
409,HeStutters,2,96,train,dev,0,0,0,0,0,3
410,HeStutters,2,97,train,dev,1,0,0,0,0,2
411,HeStutters,2,98,test,test,1,1,1,0,3,0
412,HeStutters,2,99,train,dev,1,0,0,0,0,2
413,HeStutters,2,100,train,dev,0,0,1,0,0,2
414,HeStutters,2,101,train,dev,0,2,0,0,0,1
415,HeStutters,2,102,test,test,1,2,0,0,3,0
416,HeStutters,2,103,test,test,0,0,0,3,3,0
417,HeStutters,2,104,test,test,3,0,0,0,3,0
418,HeStutters,2,105,test,test,0,0,0,1,1,2
419,HeStutters,2,106,test,test,1,0,0,0,3,2
420,HeStutters,2,107,test,test,0,2,0,3,0,0
421,HeStutters,2,108,test,test,3,0,0,0,0,0
422,HeStutters,2,109,test,test,1,0,0,0,1,2
423,HeStutters,2,110,test,test,0,1,0,0,0,1
424,HeStutters,2,111,train,dev,0,1,0,0,0,2
425,HeStutters,2,112,test,test,2,0,0,0,3,1
426,HeStutters,2,113,test,test,1,0,0,3,3,0
427,HeStutters,2,114,test,test,0,0,0,0,3,3
428,HeStutters,2,115,test,test,1,1,1,0,3,0
429,HeStutters,2,116,test,test,0,1,0,3,2,0
430,HeStutters,2,117,test,test,0,0,0,3,0,0
431,HeStutters,2,118,train,dev,0,0,0,0,0,3
432,HeStutters,2,119,train,dev,1,1,1,0,2,1
433,HeStutters,2,120,train,dev,0,2,0,0,0,1
434,HeStutters,2,121,test,test,1,0,0,0,0,2
435,HeStutters,2,122,test,test,0,0,0,0,0,3
436,HeStutters,2,123,test,test,2,0,0,0,0,1
437,HeStutters,2,124,test,test,1,0,0,3,2,0
438,HeStutters,2,125,train,dev,0,0,0,3,1,0
439,HeStutters,2,126,train,dev,1,1,1,1,1,0
440,HeStutters,2,127,test,test,0,0,0,0,2,3
441,HeStutters,2,128,test,test,3,0,0,0,3,0
442,HeStutters,2,129,test,test,1,0,0,3,3,0
443,HeStutters,2,130,test,test,2,0,1,0,3,0
444,HeStutters,2,131,test,test,0,0,0,0,3,3
445,HeStutters,2,132,test,test,0,0,0,0,1,3
446,HeStutters,2,133,test,test,0,0,0,0,3,3
447,HeStutters,2,134,train,dev,0,1,0,0,0,2
448,HeStutters,2,135,train,dev,0,0,0,0,0,3
449,HeStutters,2,136,test,test,0,0,1,0,0,2
450,HeStutters,2,137,test,test,1,0,0,0,0,2
451,HeStutters,2,138,train,dev,0,1,0,0,0,2
452,HeStutters,2,139,train,dev,1,1,1,0,0,0
453,HeStutters,2,140,train,dev,1,1,2,0,0,1
454,HeStutters,2,141,test,test,0,0,0,0,0,3
455,HeStutters,2,142,test,test,0,0,0,0,0,3
456,HeStutters,2,143,test,test,0,1,0,0,0,2
457,HeStutters,2,144,test,test,0,0,0,0,1,3
458,HeStutters,2,145,test,test,3,0,0,0,3,0
459,HeStutters,2,146,test,test,0,0,0,0,3,3
460,HeStutters,2,147,test,test,1,0,0,0,1,2
461,HeStutters,2,148,test,test,1,0,1,0,2,1
462,HeStutters,2,149,train,dev,0,0,0,1,0,2
463,HeStutters,2,150,train,dev,0,2,1,0,1,0
464,HeStutters,2,151,train,dev,0,1,0,0,0,2
465,HeStutters,2,152,test,test,0,0,0,0,0,3
466,HeStutters,2,153,test,test,1,1,1,0,0,0
467,HeStutters,2,154,test,test,1,0,0,0,2,3
468,HeStutters,2,155,test,test,1,1,0,0,3,2
469,HeStutters,2,156,test,test,0,0,0,0,0,3
470,HeStutters,2,157,train,dev,0,1,0,0,0,2
471,HeStutters,2,158,test,test,1,0,0,0,2,2
472,HeStutters,2,159,test,test,1,0,0,0,0,2
473,HeStutters,2,160,test,test,1,1,0,0,0,1
474,HeStutters,2,161,train,dev,0,1,0,0,1,2
475,HeStutters,2,162,train,dev,0,0,0,0,0,3
476,HeStutters,2,163,test,test,2,0,0,0,1,1
477,HeStutters,2,164,test,test,0,1,2,0,0,1
478,HeStutters,2,165,train,dev,0,0,0,3,0,0
479,HeStutters,2,166,train,dev,0,1,2,0,0,1
480,HeStutters,2,167,train,dev,0,0,0,0,3,3
481,HeStutters,2,168,test,test,1,1,0,0,3,1
482,HeStutters,2,169,test,test,0,0,0,0,0,3
483,HeStutters,2,170,train,dev,0,0,0,0,0,3
484,HeStutters,2,171,train,dev,0,0,0,3,0,0
485,HeStutters,2,172,test,test,0,0,0,0,2,2
486,HeStutters,2,173,test,test,1,1,0,0,0,2
487,HeStutters,2,174,train,dev,1,2,1,0,0,0
488,HeStutters,2,175,test,test,0,2,0,0,0,1
489,HeStutters,2,176,train,dev,0,0,0,0,0,2
490,HeStutters,2,177,train,dev,0,0,0,0,1,3
