Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,target_label,vote_count,EpId_clean,ClipId_clean,audio_path
WomenWhoStutter,74,80,10989440,11037440,True,Pamela Mertz,0.5894274115562439,,train,test,test,0,0,0,2,0,0,0,0,1,1,0,0,Block,2.0,74,80,../SEP-28k_CLIP/WomenWhoStutter/74/WomenWhoStutter_74_80.wav
WomenWhoStutter,62,5,32876800,32924800,True,Pamela Mertz,0.4923068284988403,,train,test,test,0,0,1,0,0,0,0,3,3,1,0,0,Interjection,3.0,62,5,../SEP-28k_CLIP/WomenWhoStutter/62/WomenWhoStutter_62_5.wav
IStutterSoWhat,2,59,3911680,3959680,False,IStutterSoWhat_2_1,0.0202096588909626,train,dev,dev,train,0,0,1,0,0,3,0,2,0,1,0,0,WordRep,3.0,2,59,../SEP-28k_CLIP/IStutterSoWhat/2/IStutterSoWhat_2_59.wav
MyStutteringLife,30,142,7135840,7183840,True,Pedro Peña,,,train,test,test,0,0,3,0,1,0,0,1,0,1,0,0,Prolongation,3.0,30,142,../SEP-28k_CLIP/MyStutteringLife/30/MyStutteringLife_30_142.wav
WomenWhoStutter,101,208,39059040,39107040,False,WomenWhoStutter_101_1,0.4982853829860687,train,dev,dev,train,0,0,0,0,2,0,0,1,1,2,0,0,SoundRep,2.0,101,208,../SEP-28k_CLIP/WomenWhoStutter/101/WomenWhoStutter_101_208.wav
WomenWhoStutter,1,34,8362880,8410880,True,Pamela Mertz,0.4392634630203247,,train,test,test,0,0,2,0,0,0,0,0,1,1,0,0,Prolongation,2.0,1,34,../SEP-28k_CLIP/WomenWhoStutter/1/WomenWhoStutter_1_34.wav
HeStutters,2,165,21858720,21906720,False,HeStutters_2_1,0.7541793584823608,train,test,train,dev,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,3.0,2,165,../SEP-28k_CLIP/HeStutters/2/HeStutters_2_165.wav
WomenWhoStutter,1,163,29723040,29771040,True,Pamela Mertz,0.5330102443695068,,train,test,test,0,0,0,1,0,2,0,3,0,0,0,0,WordRep,2.0,1,163,../SEP-28k_CLIP/WomenWhoStutter/1/WomenWhoStutter_1_163.wav
StutterTalk,58,1,1877280,1925280,True,Dr. Tom Weidig,0.480503648519516,train,test,train,dev,0,1,0,0,3,1,3,0,0,0,0,0,SoundRep,3.0,58,1,../SEP-28k_CLIP/StutterTalk/58/StutterTalk_58_1.wav
IStutterSoWhat,3,90,9491840,9539840,False,IStutterSoWhat_3_2,0.7629392147064209,train,dev,dev,train,0,1,0,1,1,0,1,3,1,2,0,0,Interjection,3.0,3,90,../SEP-28k_CLIP/IStutterSoWhat/3/IStutterSoWhat_3_90.wav
MyStutteringLife,30,62,3074080,3122080,True,Pedro Peña,,,train,test,test,0,0,3,0,1,0,0,0,0,0,0,0,Prolongation,3.0,30,62,../SEP-28k_CLIP/MyStutteringLife/30/MyStutteringLife_30_62.wav
StrongVoices,21,10,26008160,26056160,False,StrongVoices_21_0,0.7256965041160583,train,test,train,dev,0,0,0,2,0,0,0,0,1,0,0,0,Block,2.0,21,10,../SEP-28k_CLIP/StrongVoices/21/StrongVoices_21_10.wav
WomenWhoStutter,51,17,10325440,10373440,True,Pamela Mertz,0.513751745223999,,train,test,test,0,0,0,0,0,3,0,1,0,0,0,0,WordRep,3.0,51,17,../SEP-28k_CLIP/WomenWhoStutter/51/WomenWhoStutter_51_17.wav
StutteringIsCool,5,29,28090560,28138560,True,Daniele Rossi,0.3575658202171325,,train,test,test,0,0,0,2,3,0,1,2,0,0,0,0,Block,2.0,5,29,../SEP-28k_CLIP/StutteringIsCool/5/StutteringIsCool_5_29.wav
StutteringIsCool,2,28,38222720,38270720,False,StutteringIsCool_2_0,0.8140416741371155,train,dev,dev,train,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,3.0,2,28,../SEP-28k_CLIP/StutteringIsCool/2/StutteringIsCool_2_28.wav
WomenWhoStutter,0,204,15193280,15241280,False,WomenWhoStutter_0_0,0.5353721380233765,train,dev,dev,train,0,0,0,2,1,0,2,0,1,0,0,1,Block,2.0,0,204,../SEP-28k_CLIP/WomenWhoStutter/0/WomenWhoStutter_0_204.wav
MyStutteringLife,39,29,50604640,50652640,True,Pedro Peña,0.5278244614601135,,train,test,test,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,3.0,39,29,../SEP-28k_CLIP/MyStutteringLife/39/MyStutteringLife_39_29.wav
HeStutters,18,209,33681760,33729760,True,Pamela Mertz,0.5397627949714661,,train,test,test,0,1,1,0,3,1,1,0,0,0,0,0,SoundRep,3.0,18,209,../SEP-28k_CLIP/HeStutters/18/HeStutters_18_209.wav
MyStutteringLife,35,205,58676000,58724000,True,Pedro Peña,,,train,test,test,0,0,3,0,0,0,0,3,0,0,0,0,Prolongation,3.0,35,205,../SEP-28k_CLIP/MyStutteringLife/35/MyStutteringLife_35_205.wav
WomenWhoStutter,0,94,39846080,39894080,True,Pamela Mertz,0.4111893475055694,,train,test,test,0,0,2,0,0,0,1,0,1,0,0,0,Prolongation,2.0,0,94,../SEP-28k_CLIP/WomenWhoStutter/0/WomenWhoStutter_0_94.wav
StutteringIsCool,76,23,23648160,23696160,True,Daniele Rossi,0.4123488962650299,,train,test,test,0,0,0,0,2,3,0,1,0,0,0,0,SoundRep,2.0,76,23,../SEP-28k_CLIP/StutteringIsCool/76/StutteringIsCool_76_23.wav
StutterTalk,57,37,39500320,39548320,True,Caryn Herring,0.2877382934093475,train,dev,dev,train,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,57,37,../SEP-28k_CLIP/StutterTalk/57/StutterTalk_57_37.wav
StutterTalk,22,31,58562560,58610560,False,StutterTalk_22_0,0.70194011926651,train,test,train,dev,0,0,0,0,0,3,0,0,0,1,0,0,WordRep,3.0,22,31,../SEP-28k_CLIP/StutterTalk/22/StutterTalk_22_31.wav
HeStutters,23,130,24290880,24338880,False,HeStutters_23_1,0.3274427950382232,train,dev,dev,train,0,0,0,0,3,1,2,0,0,0,0,0,SoundRep,3.0,23,130,../SEP-28k_CLIP/HeStutters/23/HeStutters_23_130.wav
IStutterSoWhat,2,164,13933120,13981120,False,IStutterSoWhat_2_1,0.4345203638076782,train,dev,dev,train,0,0,2,1,1,0,1,0,0,0,0,0,Prolongation,2.0,2,164,../SEP-28k_CLIP/IStutterSoWhat/2/IStutterSoWhat_2_164.wav
HeStutters,23,62,12297760,12345760,False,HeStutters_23_1,0.4448654055595398,train,dev,dev,train,0,0,2,0,1,0,0,0,0,0,0,0,Prolongation,2.0,23,62,../SEP-28k_CLIP/HeStutters/23/HeStutters_23_62.wav
MyStutteringLife,39,15,35422240,35470240,True,Pedro Peña,0.5080557465553284,,train,test,test,0,0,0,0,1,3,0,2,0,0,0,0,WordRep,3.0,39,15,../SEP-28k_CLIP/MyStutteringLife/39/MyStutteringLife_39_15.wav
WomenWhoStutter,0,199,14845600,14893600,False,WomenWhoStutter_0_0,0.4843623638153076,train,dev,dev,train,0,0,0,2,0,0,1,0,1,0,0,1,Block,2.0,0,199,../SEP-28k_CLIP/WomenWhoStutter/0/WomenWhoStutter_0_199.wav
WomenWhoStutter,97,21,4801600,4849600,True,Pamela Mertz,0.4611433446407318,,train,test,test,0,0,0,0,3,0,0,0,0,0,0,0,SoundRep,3.0,97,21,../SEP-28k_CLIP/WomenWhoStutter/97/WomenWhoStutter_97_21.wav
WomenWhoStutter,1,6,33695680,33743680,True,Pamela Mertz,0.5372973084449768,,train,test,test,0,0,3,0,0,0,0,0,1,0,0,0,Prolongation,3.0,1,6,../SEP-28k_CLIP/WomenWhoStutter/1/WomenWhoStutter_1_6.wav
StutterTalk,44,12,20208800,20256800,True,Peter Reitzes,0.3845714628696441,,train,test,test,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,44,12,../SEP-28k_CLIP/StutterTalk/44/StutterTalk_44_12.wav
HeStutters,18,51,7052800,7100800,True,Pamela Mertz,0.402088314294815,,train,test,test,0,0,1,3,0,0,0,0,0,1,0,0,Block,3.0,18,51,../SEP-28k_CLIP/HeStutters/18/HeStutters_18_51.wav
StutteringIsCool,46,22,3767520,3815520,True,Daniele Rossi,0.5648189187049866,,train,test,test,0,0,0,0,1,0,0,3,2,0,0,0,Interjection,3.0,46,22,../SEP-28k_CLIP/StutteringIsCool/46/StutteringIsCool_46_22.wav
WomenWhoStutter,14,145,18912800,18960800,True,Pamela Mertz,0.6539337038993835,,train,test,test,0,0,1,3,0,0,0,0,0,0,0,0,Block,3.0,14,145,../SEP-28k_CLIP/WomenWhoStutter/14/WomenWhoStutter_14_145.wav
WomenWhoStutter,1,8,33758560,33806560,True,Pamela Mertz,0.2523345053195953,,train,test,test,0,0,2,0,2,1,0,1,0,0,0,0,Prolongation,2.0,1,8,../SEP-28k_CLIP/WomenWhoStutter/1/WomenWhoStutter_1_8.wav
StutteringIsCool,73,30,43033280,43081280,False,StutteringIsCool_73_4,0.4829411804676056,train,test,train,dev,0,0,0,0,0,0,0,3,3,2,0,0,Interjection,3.0,73,30,../SEP-28k_CLIP/StutteringIsCool/73/StutteringIsCool_73_30.wav
StutterTalk,6,165,35188160,35236160,True,Peter Reitzes,0.5015384554862976,,train,test,test,0,0,0,0,0,3,2,0,0,0,0,0,WordRep,3.0,6,165,../SEP-28k_CLIP/StutterTalk/6/StutterTalk_6_165.wav
WomenWhoStutter,52,16,3765280,3813280,True,Pamela Mertz,0.3404063880443573,,train,test,test,0,0,0,3,2,0,1,1,0,0,0,0,Block,3.0,52,16,../SEP-28k_CLIP/WomenWhoStutter/52/WomenWhoStutter_52_16.wav
IStutterSoWhat,0,121,10487840,10535840,False,IStutterSoWhat_0_2,0.3310185968875885,train,dev,dev,train,0,0,0,0,3,0,1,0,0,1,0,0,SoundRep,3.0,0,121,../SEP-28k_CLIP/IStutterSoWhat/0/IStutterSoWhat_0_121.wav
IStutterSoWhat,0,81,6768160,6816160,False,IStutterSoWhat_0_2,0.5855916142463684,train,dev,dev,train,0,0,0,1,2,0,0,0,0,0,0,0,SoundRep,2.0,0,81,../SEP-28k_CLIP/IStutterSoWhat/0/IStutterSoWhat_0_81.wav
MyStutteringLife,1,13,19919040,19967040,False,MyStutteringLife_1_1,0.3950416147708893,train,test,train,dev,0,0,0,3,0,0,0,1,0,0,0,0,Block,3.0,1,13,../SEP-28k_CLIP/MyStutteringLife/1/MyStutteringLife_1_13.wav
WomenWhoStutter,109,26,16538400,16586400,True,Pamela Mertz,0.3333370089530945,,train,test,test,0,0,0,1,0,1,0,3,1,0,0,0,Interjection,3.0,109,26,../SEP-28k_CLIP/WomenWhoStutter/109/WomenWhoStutter_109_26.wav
WomenWhoStutter,31,33,24235360,24283360,True,Pamela Mertz,0.3610053062438965,,train,test,test,0,0,0,0,0,0,0,3,3,2,0,0,Interjection,3.0,31,33,../SEP-28k_CLIP/WomenWhoStutter/31/WomenWhoStutter_31_33.wav
StrongVoices,5,16,24565920,24613920,False,StrongVoices_5_1,0.7017157673835754,train,dev,dev,train,0,0,2,1,0,0,0,0,1,0,0,0,Prolongation,2.0,5,16,../SEP-28k_CLIP/StrongVoices/5/StrongVoices_5_16.wav
HeStutters,5,182,36056320,36104320,False,HeStutters_5_1,0.0186563096940517,train,test,train,dev,0,0,1,1,2,1,1,0,0,0,0,0,SoundRep,2.0,5,182,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_182.wav
StrongVoices,6,169,21453120,21501120,False,StrongVoices_6_2,0.5284442901611328,train,test,train,dev,0,0,1,2,0,0,1,0,0,0,0,0,Block,2.0,6,169,../SEP-28k_CLIP/StrongVoices/6/StrongVoices_6_169.wav
WomenWhoStutter,14,160,20822400,20870400,True,Pamela Mertz,0.6503169536590576,,train,test,test,1,0,0,2,0,0,0,0,1,1,0,0,Block,2.0,14,160,../SEP-28k_CLIP/WomenWhoStutter/14/WomenWhoStutter_14_160.wav
HeStutters,11,66,10100000,10148000,True,Pamela Mertz,0.6928560733795166,,train,test,test,0,0,0,0,0,3,0,0,0,1,0,0,WordRep,3.0,11,66,../SEP-28k_CLIP/HeStutters/11/HeStutters_11_66.wav
MyStutteringLife,7,185,46381280,46429280,True,Pedro Peña,0.6688260436058044,,train,test,test,0,0,0,1,0,3,1,3,0,2,0,0,WordRep,3.0,7,185,../SEP-28k_CLIP/MyStutteringLife/7/MyStutteringLife_7_185.wav
WomenWhoStutter,73,22,23490720,23538720,True,Pamela Mertz,0.5381752848625183,,train,test,test,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,73,22,../SEP-28k_CLIP/WomenWhoStutter/73/WomenWhoStutter_73_22.wav
WomenWhoStutter,10,32,4069920,4117920,False,WomenWhoStutter_10_1,0.2523306310176849,train,test,train,dev,0,0,0,3,0,2,0,0,0,0,0,0,Block,3.0,10,32,../SEP-28k_CLIP/WomenWhoStutter/10/WomenWhoStutter_10_32.wav
StutterTalk,11,29,27524960,27572960,True,Christopher Constantino,0.6092304587364197,train,dev,dev,train,0,1,1,1,1,2,0,0,0,1,0,0,WordRep,2.0,11,29,../SEP-28k_CLIP/StutterTalk/11/StutterTalk_11_29.wav
StutteringIsCool,47,22,19156480,19204480,False,StutteringIsCool_47_1,0.5888069272041321,train,test,train,dev,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,3.0,47,22,../SEP-28k_CLIP/StutteringIsCool/47/StutteringIsCool_47_22.wav
HeStutters,20,141,2761440,2809440,False,HeStutters_20_1,0.811570405960083,train,dev,dev,train,0,0,0,2,1,0,0,0,0,0,0,0,Block,2.0,20,141,../SEP-28k_CLIP/HeStutters/20/HeStutters_20_141.wav
WomenWhoStutter,88,156,29770880,29818880,True,Pamela Mertz,0.4319998025894165,,train,test,test,0,0,0,0,0,3,0,2,0,0,0,0,WordRep,3.0,88,156,../SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_156.wav
WomenWhoStutter,30,31,24949280,24997280,True,Pamela Mertz,0.2047166526317596,,train,test,test,0,0,1,2,1,0,2,0,1,0,0,0,Block,2.0,30,31,../SEP-28k_CLIP/WomenWhoStutter/30/WomenWhoStutter_30_31.wav
StutteringIsCool,81,0,40246720,40294720,True,Daniele Rossi,0.4887115061283111,,train,test,test,0,0,2,0,0,0,0,0,1,0,0,0,Prolongation,2.0,81,0,../SEP-28k_CLIP/StutteringIsCool/81/StutteringIsCool_81_0.wav
HeStutters,20,21,4959360,5007360,True,Pamela Mertz,0.4861631095409393,,train,test,test,0,1,0,2,0,1,0,2,0,0,0,0,Block,2.0,20,21,../SEP-28k_CLIP/HeStutters/20/HeStutters_20_21.wav
WomenWhoStutter,96,138,35534400,35582400,True,Pamela Mertz,0.3629100322723388,,train,test,test,0,0,0,2,0,0,0,0,1,0,0,0,Block,2.0,96,138,../SEP-28k_CLIP/WomenWhoStutter/96/WomenWhoStutter_96_138.wav
HeStutters,15,107,15523200,15571200,True,Pamela Mertz,0.3414505422115326,,train,test,test,0,0,0,2,1,0,1,1,1,0,0,0,Block,2.0,15,107,../SEP-28k_CLIP/HeStutters/15/HeStutters_15_107.wav
StutterTalk,25,172,45420480,45468480,True,Peter Reitzes,0.4692398011684418,,train,test,test,0,0,0,1,2,0,0,2,1,1,0,0,SoundRep,2.0,25,172,../SEP-28k_CLIP/StutterTalk/25/StutterTalk_25_172.wav
WomenWhoStutter,2,3,34522400,34570400,False,WomenWhoStutter_2_0,0.3239453434944153,train,test,train,dev,0,0,0,0,3,0,0,0,0,0,0,0,SoundRep,3.0,2,3,../SEP-28k_CLIP/WomenWhoStutter/2/WomenWhoStutter_2_3.wav
StutterTalk,47,31,22991840,23039840,True,Peter Reitzes,0.4103354215621948,,train,test,test,0,0,0,0,0,3,0,0,0,1,0,0,WordRep,3.0,47,31,../SEP-28k_CLIP/StutterTalk/47/StutterTalk_47_31.wav
WomenWhoStutter,88,27,52263840,52311840,False,WomenWhoStutter_88_1,-0.0209341347217559,train,dev,dev,train,0,0,0,1,0,3,0,1,0,1,0,0,WordRep,3.0,88,27,../SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_27.wav
StutteringIsCool,64,5,3679040,3727040,True,Daniele Rossi,0.3587881326675415,,train,test,test,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,64,5,../SEP-28k_CLIP/StutteringIsCool/64/StutteringIsCool_64_5.wav
WomenWhoStutter,22,28,3176960,3224960,True,Pamela Mertz,0.4505409896373749,,train,test,test,0,0,0,1,3,0,1,0,0,0,0,0,SoundRep,3.0,22,28,../SEP-28k_CLIP/WomenWhoStutter/22/WomenWhoStutter_22_28.wav
WomenWhoStutter,86,119,11635200,11683200,True,Pamela Mertz,0.1785679310560226,,train,test,test,0,0,0,0,0,3,0,1,0,1,0,0,WordRep,3.0,86,119,../SEP-28k_CLIP/WomenWhoStutter/86/WomenWhoStutter_86_119.wav
WomenWhoStutter,62,199,28937280,28985280,False,WomenWhoStutter_62_0,0.6695025563240051,train,test,train,dev,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,62,199,../SEP-28k_CLIP/WomenWhoStutter/62/WomenWhoStutter_62_199.wav
MyStutteringLife,30,152,7674720,7722720,True,Pedro Peña,,,train,test,test,0,0,0,1,3,0,0,0,0,0,0,0,SoundRep,3.0,30,152,../SEP-28k_CLIP/MyStutteringLife/30/MyStutteringLife_30_152.wav
WomenWhoStutter,34,192,25838880,25886880,True,Pamela Mertz,0.5328646302223206,,train,test,test,0,0,2,0,0,0,0,1,1,0,0,0,Prolongation,2.0,34,192,../SEP-28k_CLIP/WomenWhoStutter/34/WomenWhoStutter_34_192.wav
StutteringIsCool,10,22,25658080,25706080,True,Daniele Rossi,,,train,test,test,0,2,1,0,0,0,0,3,2,1,0,0,Interjection,3.0,10,22,../SEP-28k_CLIP/StutteringIsCool/10/StutteringIsCool_10_22.wav
WomenWhoStutter,99,37,36555520,36603520,False,WomenWhoStutter_99_0,0.4496936798095703,train,dev,dev,train,0,0,0,0,0,3,0,0,0,1,0,0,WordRep,3.0,99,37,../SEP-28k_CLIP/WomenWhoStutter/99/WomenWhoStutter_99_37.wav
StrongVoices,25,5,2661280,2709280,False,StrongVoices_25_1,0.6836032271385193,train,dev,dev,train,0,0,0,3,0,0,0,0,0,0,0,0,Block,3.0,25,5,../SEP-28k_CLIP/StrongVoices/25/StrongVoices_25_5.wav
MyStutteringLife,16,23,50632000,50680000,True,Pedro Peña,0.5399949550628662,,train,test,test,0,0,1,0,0,0,0,3,2,0,0,0,Interjection,3.0,16,23,../SEP-28k_CLIP/MyStutteringLife/16/MyStutteringLife_16_23.wav
MyStutteringLife,7,56,5080480,5128480,True,Pedro Peña,0.6349390149116516,,train,test,test,0,0,1,0,0,3,0,0,0,2,0,0,WordRep,3.0,7,56,../SEP-28k_CLIP/MyStutteringLife/7/MyStutteringLife_7_56.wav
WomenWhoStutter,34,188,25764800,25812800,True,Pamela Mertz,0.5888789296150208,,train,test,test,0,0,1,1,0,0,0,3,1,1,0,0,Interjection,3.0,34,188,../SEP-28k_CLIP/WomenWhoStutter/34/WomenWhoStutter_34_188.wav
StutteringIsCool,64,1,29683360,29731360,True,Daniele Rossi,0.4571655392646789,,train,test,test,0,0,1,0,0,0,0,3,3,2,0,0,Interjection,3.0,64,1,../SEP-28k_CLIP/StutteringIsCool/64/StutteringIsCool_64_1.wav
StutterTalk,36,34,33790880,33838880,True,Peter Reitzes,0.3337371051311493,,train,test,test,0,0,0,2,0,0,0,0,1,0,0,0,Block,2.0,36,34,../SEP-28k_CLIP/StutterTalk/36/StutterTalk_36_34.wav
WomenWhoStutter,50,221,30316800,30364800,True,Pamela Mertz,0.4005093574523926,,train,test,test,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,3.0,50,221,../SEP-28k_CLIP/WomenWhoStutter/50/WomenWhoStutter_50_221.wav
StutterTalk,29,25,36629600,36677600,True,Peter Reitzes,0.3389107584953308,,train,test,test,0,0,2,0,1,0,0,0,1,2,0,0,Prolongation,2.0,29,25,../SEP-28k_CLIP/StutterTalk/29/StutterTalk_29_25.wav
StutteringIsCool,40,10,6724480,6772480,True,Daniele Rossi,0.3809694647789001,,train,test,test,0,0,2,1,0,0,0,1,0,1,0,0,Prolongation,2.0,40,10,../SEP-28k_CLIP/StutteringIsCool/40/StutteringIsCool_40_10.wav
IStutterSoWhat,4,108,8331360,8379360,False,IStutterSoWhat_4_1,0.4894521832466125,train,dev,dev,train,0,1,2,0,0,0,0,1,1,2,0,0,Prolongation,2.0,4,108,../SEP-28k_CLIP/IStutterSoWhat/4/IStutterSoWhat_4_108.wav
IStutterSoWhat,1,87,7213600,7261600,True,Evan Sherman,,train,dev,dev,train,0,0,1,2,0,0,0,0,1,2,0,0,Block,2.0,1,87,../SEP-28k_CLIP/IStutterSoWhat/1/IStutterSoWhat_1_87.wav
WomenWhoStutter,31,32,23095840,23143840,True,Pamela Mertz,0.1535395979881286,,train,test,test,0,0,1,2,3,0,1,2,0,0,0,0,Block,2.0,31,32,../SEP-28k_CLIP/WomenWhoStutter/31/WomenWhoStutter_31_32.wav
HeStutters,15,56,7564800,7612800,True,Pamela Mertz,0.5441862344741821,,train,test,test,0,0,3,0,0,0,0,3,0,0,0,0,Prolongation,3.0,15,56,../SEP-28k_CLIP/HeStutters/15/HeStutters_15_56.wav
StutteringIsCool,82,78,5010400,5058400,True,Daniele Rossi,0.4483246803283691,,train,test,test,0,0,1,0,0,0,0,3,2,0,0,0,Interjection,3.0,82,78,../SEP-28k_CLIP/StutteringIsCool/82/StutteringIsCool_82_78.wav
