Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,target_label,audio_path,EpId_clean,ClipId_clean
StutteringIsCool,80,52,4293280,4341280,True,Daniele Rossi,0.5687710642814636,,train,test,test,0,0,3,1,0,0,0,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/StutteringIsCool/80/StutteringIsCool_80_52.wav,80,52
WomenWhoStutter,100,10,10391680,10439680,True,Pamela Mertz,0.479746401309967,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/WomenWhoStutter/100/WomenWhoStutter_100_10.wav,100,10
WomenWhoStutter,57,120,10793280,10841280,True,Pamela Mertz,0.1598315387964248,,train,test,test,0,0,0,0,0,3,1,0,0,0,0,0,WordRep,../SEP-28k_CLIP/WomenWhoStutter/57/WomenWhoStutter_57_120.wav,57,120
WomenWhoStutter,25,34,3015840,3063840,True,Pamela Mertz,0.5476182103157043,,train,test,test,0,0,0,1,0,0,0,3,2,1,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/25/WomenWhoStutter_25_34.wav,25,34
StutteringIsCool,6,39,12928480,12976480,False,StutteringIsCool_6_1,0.1823713481426239,train,dev,dev,train,0,0,3,0,0,0,0,1,0,0,0,0,Prolongation,../SEP-28k_CLIP/StutteringIsCool/6/StutteringIsCool_6_39.wav,6,39
StutteringIsCool,16,17,14462720,14510720,True,Daniele Rossi,0.6175047755241394,,train,test,test,0,0,0,0,0,0,0,3,3,3,0,0,Interjection,../SEP-28k_CLIP/StutteringIsCool/16/StutteringIsCool_16_17.wav,16,17
StutteringIsCool,77,34,53634880,53682880,True,Daniele Rossi,0.5958192348480225,,train,test,test,0,0,0,0,3,0,2,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/StutteringIsCool/77/StutteringIsCool_77_34.wav,77,34
WomenWhoStutter,21,152,22561120,22609120,True,Pamela Mertz,0.5994564294815063,,train,test,test,0,0,0,0,0,0,3,0,3,0,0,0,Fluent,../SEP-28k_CLIP/WomenWhoStutter/21/WomenWhoStutter_21_152.wav,21,152
MyStutteringLife,32,114,5620480,5668480,True,Pedro Peña,,,train,test,test,0,0,0,2,0,3,0,2,0,1,0,0,WordRep,../SEP-28k_CLIP/MyStutteringLife/32/MyStutteringLife_32_114.wav,32,114
StutteringIsCool,56,20,22542720,22590720,False,StutteringIsCool_56_1,0.7187049388885498,train,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/StutteringIsCool/56/StutteringIsCool_56_20.wav,56,20
StutterTalk,42,10,24275200,24323200,True,Peter Reitzes,0.5558215379714966,,train,test,test,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/42/StutterTalk_42_10.wav,42,10
WomenWhoStutter,82,25,29338560,29386560,True,Pamela Mertz,0.6022443771362305,,train,test,test,0,1,0,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/82/WomenWhoStutter_82_25.wav,82,25
StutteringIsCool,82,78,5010400,5058400,True,Daniele Rossi,0.4483246803283691,,train,test,test,0,0,1,0,0,0,0,3,2,0,0,0,Interjection,../SEP-28k_CLIP/StutteringIsCool/82/StutteringIsCool_82_78.wav,82,78
StutterTalk,8,145,15899520,15947520,True,Reuben Schuff,0.6205151081085205,train,test,train,dev,0,1,0,0,0,3,0,0,0,0,0,0,WordRep,../SEP-28k_CLIP/StutterTalk/8/StutterTalk_8_145.wav,8,145
WomenWhoStutter,74,148,20662400,20710400,False,WomenWhoStutter_74_1,0.604774534702301,train,dev,dev,train,0,0,0,0,0,0,0,3,3,2,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/74/WomenWhoStutter_74_148.wav,74,148
StutteringIsCool,79,1,15374080,15422080,False,StutteringIsCool_79_2,0.4559244513511657,train,dev,dev,train,0,0,0,0,0,0,0,0,3,0,2,0,Fluent,../SEP-28k_CLIP/StutteringIsCool/79/StutteringIsCool_79_1.wav,79,1
MyStutteringLife,35,47,8059680,8107680,True,Pedro Peña,,,train,test,test,0,0,1,1,3,0,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/MyStutteringLife/35/MyStutteringLife_35_47.wav,35,47
WomenWhoStutter,66,34,32046560,32094560,True,Pamela Mertz,0.4093613624572754,,train,test,test,0,0,3,0,0,0,0,0,0,1,0,0,Prolongation,../SEP-28k_CLIP/WomenWhoStutter/66/WomenWhoStutter_66_34.wav,66,34
StrongVoices,32,126,3855360,3903360,False,StrongVoices_32_1,0.5110095739364624,train,test,train,dev,0,0,1,0,0,0,0,3,2,1,0,0,Interjection,../SEP-28k_CLIP/StrongVoices/32/StrongVoices_32_126.wav,32,126
WomenWhoStutter,6,192,2538560,2586560,True,Pamela Mertz,0.4397293329238891,,train,test,test,0,2,0,1,0,0,0,3,2,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/6/WomenWhoStutter_6_192.wav,6,192
WomenWhoStutter,56,53,9718400,9766400,True,Pamela Mertz,0.4758935868740082,,train,test,test,1,3,0,3,0,0,1,1,0,0,0,0,Block,../SEP-28k_CLIP/WomenWhoStutter/56/WomenWhoStutter_56_53.wav,56,53
WomenWhoStutter,108,18,13375040,13423040,True,Pamela Mertz,0.0116431778296828,,train,test,test,0,0,0,3,0,0,1,0,0,0,0,0,Block,../SEP-28k_CLIP/WomenWhoStutter/108/WomenWhoStutter_108_18.wav,108,18
WomenWhoStutter,6,45,3389280,3437280,True,Pamela Mertz,0.4173990190029144,,train,test,test,0,0,3,1,0,0,1,3,0,0,0,0,Prolongation,../SEP-28k_CLIP/WomenWhoStutter/6/WomenWhoStutter_6_45.wav,6,45
StutterTalk,43,112,29136800,29184800,True,Peter Reitzes,0.5290096402168274,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0,Fluent,../SEP-28k_CLIP/StutterTalk/43/StutterTalk_43_112.wav,43,112
HeStutters,23,52,11265440,11313440,True,Pamela Mertz,0.6728023886680603,,train,test,test,0,0,0,2,3,0,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/23/HeStutters_23_52.wav,23,52
WomenWhoStutter,88,223,47351040,47399040,True,Pamela Mertz,0.112912118434906,,train,test,test,0,0,2,0,0,3,0,0,0,0,0,0,WordRep,../SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_223.wav,88,223
StrongVoices,23,206,14914560,14962560,False,StrongVoices_23_0,0.6132502555847168,train,test,train,dev,0,0,1,3,0,0,0,0,0,0,0,0,Block,../SEP-28k_CLIP/StrongVoices/23/StrongVoices_23_206.wav,23,206
WomenWhoStutter,0,165,8612800,8660800,True,Pamela Mertz,0.2868219912052154,,train,test,test,0,0,0,1,3,0,1,0,0,0,0,1,SoundRep,../SEP-28k_CLIP/WomenWhoStutter/0/WomenWhoStutter_0_165.wav,0,165
StrongVoices,17,19,14143840,14191840,False,StrongVoices_17_1,0.5276836156845093,train,test,train,dev,0,0,0,0,0,0,1,0,3,0,0,1,Fluent,../SEP-28k_CLIP/StrongVoices/17/StrongVoices_17_19.wav,17,19
StutteringIsCool,50,10,20863680,20911680,True,Daniele Rossi,0.5641184449195862,,train,test,test,0,0,0,0,0,0,1,3,3,0,0,0,Interjection,../SEP-28k_CLIP/StutteringIsCool/50/StutteringIsCool_50_10.wav,50,10
IStutterSoWhat,1,6,2270240,2318240,True,Evan Sherman,,train,dev,dev,train,0,0,0,3,1,0,0,0,0,2,0,0,Block,../SEP-28k_CLIP/IStutterSoWhat/1/IStutterSoWhat_1_6.wav,1,6
WomenWhoStutter,85,30,13910720,13958720,False,WomenWhoStutter_85_0,0.167964369058609,train,dev,dev,train,0,0,1,3,0,0,0,0,0,0,0,0,Block,../SEP-28k_CLIP/WomenWhoStutter/85/WomenWhoStutter_85_30.wav,85,30
HeStutters,12,57,3401920,3449920,True,Pamela Mertz,0.4326076209545135,,train,test,test,0,0,3,0,0,0,0,3,0,1,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/12/HeStutters_12_57.wav,12,57
WomenWhoStutter,71,9,3198080,3246080,False,WomenWhoStutter_71_1,0.3356955647468567,train,dev,dev,train,0,0,0,0,0,3,0,1,0,0,0,0,WordRep,../SEP-28k_CLIP/WomenWhoStutter/71/WomenWhoStutter_71_9.wav,71,9
HVSA,1,160,9269920,9317920,True,TJ Travor,0.5784875750541687,train,test,train,dev,0,0,3,0,0,0,0,3,0,0,0,0,Prolongation,../SEP-28k_CLIP/HVSA/1/HVSA_1_160.wav,1,160
HeStutters,3,25,25138720,25186720,True,Pamela Mertz,0.3481847643852234,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/HeStutters/3/HeStutters_3_25.wav,3,25
StutteringIsCool,24,1,13974400,14022400,False,StutteringIsCool_24_1,0.4170736968517303,train,dev,dev,train,0,0,1,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/StutteringIsCool/24/StutteringIsCool_24_1.wav,24,1
WomenWhoStutter,106,19,1604320,1652320,True,Pamela Mertz,,,train,test,test,0,0,0,3,1,0,0,0,0,0,0,0,Block,../SEP-28k_CLIP/WomenWhoStutter/106/WomenWhoStutter_106_19.wav,106,19
WomenWhoStutter,20,24,22449120,22497120,True,Pamela Mertz,0.4976334273815155,,train,test,test,0,0,0,1,0,0,0,3,2,3,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/20/WomenWhoStutter_20_24.wav,20,24
IStutterSoWhat,3,52,6417440,6465440,False,IStutterSoWhat_3_2,0.6090925335884094,train,dev,dev,train,0,0,0,0,3,0,1,2,0,0,0,0,SoundRep,../SEP-28k_CLIP/IStutterSoWhat/3/IStutterSoWhat_3_52.wav,3,52
StutteringIsCool,18,30,4473440,4521440,True,Daniele Rossi,0.3324673473834991,,train,test,test,0,0,1,0,0,0,0,3,2,0,0,1,Interjection,../SEP-28k_CLIP/StutteringIsCool/18/StutteringIsCool_18_30.wav,18,30
StutteringIsCool,81,6,45197920,45245920,True,Daniele Rossi,0.5474528074264526,,train,test,test,0,0,1,0,0,2,0,3,0,0,0,0,Interjection,../SEP-28k_CLIP/StutteringIsCool/81/StutteringIsCool_81_6.wav,81,6
StutterTalk,8,163,17051520,17099520,True,Reuben Schuff,0.7028952836990356,train,test,train,dev,0,0,0,0,0,0,0,3,3,2,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/8/StutterTalk_8_163.wav,8,163
WomenWhoStutter,34,47,6417760,6465760,True,Pamela Mertz,0.4993228912353515,,train,test,test,0,0,2,0,0,0,0,3,1,1,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/34/WomenWhoStutter_34_47.wav,34,47
StutterTalk,68,73,2480160,2528160,True,Chaya Goldstein,0.5201495885848999,train,dev,dev,train,0,0,2,0,0,0,0,3,1,0,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/68/StutterTalk_68_73.wav,68,73
WomenWhoStutter,30,1,21384480,21432480,True,Pamela Mertz,0.3976041376590729,,train,test,test,0,0,2,0,0,0,0,3,1,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/30/WomenWhoStutter_30_1.wav,30,1
IStutterSoWhat,0,143,13778240,13826240,True,Evan Sherman,0.6947203874588013,train,dev,dev,train,0,0,0,0,0,3,0,1,0,1,0,0,WordRep,../SEP-28k_CLIP/IStutterSoWhat/0/IStutterSoWhat_0_143.wav,0,143
StutterTalk,63,24,11659680,11707680,True,Chaya Goldstein,0.4897632896900177,train,dev,dev,train,0,0,0,0,0,3,0,3,0,1,0,0,WordRep,../SEP-28k_CLIP/StutterTalk/63/StutterTalk_63_24.wav,63,24
WomenWhoStutter,49,37,24377760,24425760,False,WomenWhoStutter_49_1,0.3409823775291443,train,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/WomenWhoStutter/49/WomenWhoStutter_49_37.wav,49,37
StutteringIsCool,49,34,27859840,27907840,False,StutteringIsCool_49_1,0.2386596798896789,train,test,train,dev,0,0,3,0,0,0,0,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/StutteringIsCool/49/StutteringIsCool_49_34.wav,49,34
StutterTalk,44,33,39988160,40036160,True,Peter Reitzes,0.3927780091762543,,train,test,test,0,0,0,0,0,0,0,3,3,2,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/44/StutterTalk_44_33.wav,44,33
IStutterSoWhat,1,23,3203680,3251680,True,Evan Sherman,,train,dev,dev,train,0,0,0,0,3,0,0,1,0,2,0,0,SoundRep,../SEP-28k_CLIP/IStutterSoWhat/1/IStutterSoWhat_1_23.wav,1,23
WomenWhoStutter,0,49,32594880,32642880,True,Pamela Mertz,0.1872277855873108,,train,test,test,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/0/WomenWhoStutter_0_49.wav,0,49
StutteringIsCool,38,0,1029600,1077600,,,,,test,train,dev,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,../SEP-28k_CLIP/StutteringIsCool/38/StutteringIsCool_38_0.wav,38,0
MyStutteringLife,27,1,2154240,2202240,True,Pedro Peña,,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/MyStutteringLife/27/MyStutteringLife_27_1.wav,27,1
WomenWhoStutter,17,25,13619200,13667200,True,Pamela Mertz,0.5043947100639343,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0,Fluent,../SEP-28k_CLIP/WomenWhoStutter/17/WomenWhoStutter_17_25.wav,17,25
WomenWhoStutter,1,192,33143680,33191680,True,Pamela Mertz,0.4863400757312774,,train,test,test,0,0,0,1,1,0,0,3,1,1,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/1/WomenWhoStutter_1_192.wav,1,192
WomenWhoStutter,88,143,26088960,26136960,True,Pamela Mertz,0.1994344145059585,,train,test,test,0,0,0,3,0,0,0,0,0,0,0,0,Block,../SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_143.wav,88,143
MyStutteringLife,23,111,36385600,36433600,False,MyStutteringLife_23_1,0.7199438810348511,train,dev,dev,train,0,0,0,0,0,0,0,0,3,2,0,0,Fluent,../SEP-28k_CLIP/MyStutteringLife/23/MyStutteringLife_23_111.wav,23,111
WomenWhoStutter,88,170,33226080,33274080,True,Pamela Mertz,0.4892545342445373,,train,test,test,0,0,0,0,0,3,0,1,0,0,0,0,WordRep,../SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_170.wav,88,170
StutteringIsCool,38,33,30972320,31020320,,,,,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/StutteringIsCool/38/StutteringIsCool_38_33.wav,38,33
StutterTalk,63,78,24998880,25046880,True,Chaya Goldstein,0.4482098817825317,train,dev,dev,train,0,0,1,0,0,0,0,3,2,0,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/63/StutterTalk_63_78.wav,63,78
WomenWhoStutter,42,231,19745600,19793600,True,Pamela Mertz,0.4950907230377197,,train,test,test,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/42/WomenWhoStutter_42_231.wav,42,231
StutteringIsCool,65,26,6743360,6791360,True,Daniele Rossi,0.5101611018180847,,train,test,test,0,1,0,0,3,0,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/StutteringIsCool/65/StutteringIsCool_65_26.wav,65,26
WomenWhoStutter,86,100,9792480,9840480,False,WomenWhoStutter_86_0,0.1334670484066009,train,test,train,dev,0,0,0,0,1,0,0,3,2,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/86/WomenWhoStutter_86_100.wav,86,100
StutteringIsCool,42,15,26428960,26476960,True,Daniele Rossi,0.6729317903518677,,train,test,test,0,0,0,1,0,0,0,3,2,0,0,0,Interjection,../SEP-28k_CLIP/StutteringIsCool/42/StutteringIsCool_42_15.wav,42,15
WomenWhoStutter,7,18,22014880,22062880,True,Pamela Mertz,0.5075808167457581,,train,test,test,0,0,1,1,0,0,0,3,1,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/7/WomenWhoStutter_7_18.wav,7,18
WomenWhoStutter,9,5,5385120,5433120,False,WomenWhoStutter_9_1,0.6288103461265564,train,dev,dev,train,0,0,0,3,1,1,0,0,0,1,0,0,Block,../SEP-28k_CLIP/WomenWhoStutter/9/WomenWhoStutter_9_5.wav,9,5
StutterTalk,29,32,39963040,40011040,True,Peter Reitzes,0.5375710129737854,,train,test,test,0,0,0,1,0,0,0,3,2,0,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/29/StutterTalk_29_32.wav,29,32
StrongVoices,6,27,4541280,4589280,False,StrongVoices_6_2,0.7430358529090881,train,test,train,dev,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/StrongVoices/6/StrongVoices_6_27.wav,6,27
StutterTalk,8,82,10016320,10064320,True,Reuben Schuff,0.5677557587623596,train,test,train,dev,0,0,0,0,0,0,0,3,3,3,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/8/StutterTalk_8_82.wav,8,82
WomenWhoStutter,69,7,12673760,12721760,False,WomenWhoStutter_69_0,0.5454357862472534,train,test,train,dev,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/69/WomenWhoStutter_69_7.wav,69,7
WomenWhoStutter,39,122,16752480,16800480,True,Pamela Mertz,0.2532026767730713,,train,test,test,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/39/WomenWhoStutter_39_122.wav,39,122
MyStutteringLife,17,24,3795520,3843520,False,MyStutteringLife_17_1,0.4859744012355804,train,dev,dev,train,0,0,0,1,0,0,0,3,2,1,0,0,Interjection,../SEP-28k_CLIP/MyStutteringLife/17/MyStutteringLife_17_24.wav,17,24
WomenWhoStutter,42,242,21673760,21721760,True,Pamela Mertz,0.4002422988414764,,train,test,test,0,0,2,0,0,0,0,3,1,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/42/WomenWhoStutter_42_242.wav,42,242
HeStutters,12,82,6308960,6356960,True,Pamela Mertz,0.5071299076080322,,train,test,test,0,0,2,1,0,0,0,3,1,0,0,0,Interjection,../SEP-28k_CLIP/HeStutters/12/HeStutters_12_82.wav,12,82
HeStutters,23,178,32243680,32291680,False,HeStutters_23_1,0.4541270136833191,train,dev,dev,train,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,../SEP-28k_CLIP/HeStutters/23/HeStutters_23_178.wav,23,178
StutterTalk,66,1,42757440,42805440,True,Chaya Goldstein,0.490335077047348,train,dev,dev,train,0,0,3,0,0,0,0,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/StutterTalk/66/StutterTalk_66_1.wav,66,1
IStutterSoWhat,2,53,3292800,3340800,True,Evan Sherman,0.7302215695381165,train,dev,dev,train,0,0,0,0,0,3,0,1,0,0,0,0,WordRep,../SEP-28k_CLIP/IStutterSoWhat/2/IStutterSoWhat_2_53.wav,2,53
StutteringIsCool,28,34,29332960,29380960,True,Daniele Rossi,0.6479490995407104,,train,test,test,0,0,0,0,0,3,0,1,0,0,0,0,WordRep,../SEP-28k_CLIP/StutteringIsCool/28/StutteringIsCool_28_34.wav,28,34
StutteringIsCool,80,24,25668640,25716640,False,StutteringIsCool_80_0,0.2676761448383331,train,test,train,dev,0,1,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/StutteringIsCool/80/StutteringIsCool_80_24.wav,80,24
WomenWhoStutter,59,29,29665760,29713760,True,Pamela Mertz,0.4606300592422485,,train,test,test,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,../SEP-28k_CLIP/WomenWhoStutter/59/WomenWhoStutter_59_29.wav,59,29
StutterTalk,32,2,29174080,29222080,True,Peter Reitzes,0.5574002861976624,,train,test,test,0,0,0,0,0,0,0,0,3,3,0,0,Fluent,../SEP-28k_CLIP/StutterTalk/32/StutterTalk_32_2.wav,32,2
StutteringIsCool,68,39,2887680,2935680,True,Daniele Rossi,0.5605723857879639,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/StutteringIsCool/68/StutteringIsCool_68_39.wav,68,39
WomenWhoStutter,47,16,20236960,20284960,True,Pamela Mertz,0.535163402557373,,train,test,test,0,1,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/WomenWhoStutter/47/WomenWhoStutter_47_16.wav,47,16
HeStutters,8,47,10307520,10355520,True,Pamela Mertz,0.5224874019622803,,train,test,test,0,0,1,2,0,1,0,3,0,0,0,0,Interjection,../SEP-28k_CLIP/HeStutters/8/HeStutters_8_47.wav,8,47
StutteringIsCool,60,2,4299840,4347840,True,Daniele Rossi,0.6766775250434875,,train,test,test,0,0,1,0,0,1,0,3,1,0,0,0,Interjection,../SEP-28k_CLIP/StutteringIsCool/60/StutteringIsCool_60_2.wav,60,2
WomenWhoStutter,86,119,11635200,11683200,True,Pamela Mertz,0.1785679310560226,,train,test,test,0,0,0,0,0,3,0,1,0,1,0,0,WordRep,../SEP-28k_CLIP/WomenWhoStutter/86/WomenWhoStutter_86_119.wav,86,119
StutterTalk,43,91,25069760,25117760,True,Peter Reitzes,0.5228854417800903,,train,test,test,0,0,2,0,0,0,0,3,1,1,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/43/StutterTalk_43_91.wav,43,91
StutteringIsCool,27,7,3783040,3831040,True,Daniele Rossi,0.7384908199310303,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/StutteringIsCool/27/StutteringIsCool_27_7.wav,27,7
StutterTalk,33,17,51191360,51239360,True,Peter Reitzes,0.5089459419250488,,train,test,test,0,0,1,0,0,0,0,3,2,0,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/33/StutterTalk_33_17.wav,33,17
StutterTalk,43,14,62409760,62457760,True,Peter Reitzes,0.3691838681697845,,train,test,test,0,0,1,0,0,0,0,3,2,2,0,0,Interjection,../SEP-28k_CLIP/StutterTalk/43/StutterTalk_43_14.wav,43,14
StutterTalk,14,39,24649440,24697440,True,Christopher Constantino,0.3743070960044861,train,dev,dev,train,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,../SEP-28k_CLIP/StutterTalk/14/StutterTalk_14_39.wav,14,39
StrongVoices,6,135,17853760,17901760,False,StrongVoices_6_1,0.5951166152954102,train,dev,dev,train,0,1,0,0,1,3,0,0,0,0,0,0,WordRep,../SEP-28k_CLIP/StrongVoices/6/StrongVoices_6_135.wav,6,135
WomenWhoStutter,0,263,22897760,22945760,True,Pamela Mertz,0.0290441643446683,,train,test,test,0,0,3,0,0,0,1,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/WomenWhoStutter/0/WomenWhoStutter_0_263.wav,0,263
StutterTalk,8,137,15005760,15053760,True,Reuben Schuff,0.618085503578186,train,test,train,dev,0,0,0,0,0,3,0,2,0,0,0,0,WordRep,../SEP-28k_CLIP/StutterTalk/8/StutterTalk_8_137.wav,8,137
WomenWhoStutter,66,39,35802720,35850720,False,WomenWhoStutter_66_1,0.4082709550857544,train,dev,dev,train,0,0,2,0,0,0,0,3,1,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/66/WomenWhoStutter_66_39.wav,66,39
IStutterSoWhat,3,56,6496160,6544160,False,IStutterSoWhat_3_2,0.7083148956298828,train,dev,dev,train,0,0,1,0,0,1,0,3,2,1,0,0,Interjection,../SEP-28k_CLIP/IStutterSoWhat/3/IStutterSoWhat_3_56.wav,3,56
StrongVoices,32,96,20374560,20422560,False,StrongVoices_32_0,0.7129256129264832,train,test,train,dev,0,0,0,0,1,2,0,3,0,0,0,0,Interjection,../SEP-28k_CLIP/StrongVoices/32/StrongVoices_32_96.wav,32,96
WomenWhoStutter,27,5,10531360,10579360,False,WomenWhoStutter_27_0,0.2470904290676117,train,test,train,dev,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,../SEP-28k_CLIP/WomenWhoStutter/27/WomenWhoStutter_27_5.wav,27,5
HeStutters,15,89,11240640,11288640,False,HeStutters_15_1,0.5991050601005554,train,dev,dev,train,0,0,0,0,0,3,0,1,0,2,0,0,WordRep,../SEP-28k_CLIP/HeStutters/15/HeStutters_15_89.wav,15,89
